date,log_dp,log_dy,log_ep,log_de,bm,ntis,tbl,lty,ltr,tml,dfy,dfr,infl_lag,target
1957-02-01,-3.2171840066844126,-3.2171840066844126,-2.542474056448857,-0.6747099502355555,0.584994188799449,0.030172846543541458,0.031,0.0328,0.0025,0.001800000000000003,0.008,0.006799999999999999,-3.2171840066844126,-0.027502333333333333
1957-03-01,-3.2385651056071607,-3.2385651056071607,-2.5629110824947325,-0.6756540231124282,0.5998188749183885,0.026599594699423877,0.0308,0.0331,-0.0024,0.0022999999999999965,0.0076999999999999985,0.0074,-3.2385651056071607,0.021260333333333332
1957-04-01,-3.2748517800849477,-3.2748517800849477,-2.5972379140140838,-0.6776138660708636,0.5760983898373655,0.02742059308723316,0.030699999999999998,0.0345,-0.0222,0.0038000000000000048,0.0077000000000000055,0.015600000000000001,-3.2748517800849477,0.04397966666666667
1957-05-01,-3.3111335313798027,-3.3111335313798027,-2.6315665855092147,-0.6795669458705876,0.5640385796050937,0.028848654637553393,0.030600000000000002,0.0348,-0.0023,0.004199999999999995,0.0077999999999999944,-0.0052,-3.3111335313798027,0.036183999999999994
1957-06-01,-3.3098677084259727,-3.3098677084259727,-2.6283485658611463,-0.681519142564826,0.5658765324166981,0.03052769142737752,0.0329,0.0361,-0.018,0.0032000000000000015,0.007199999999999998,-0.0142,-3.3098677084259727,-0.0034466666666666665
1957-07-01,-3.315439137668593,-3.315439137668593,-2.6348212716026373,-0.6806178660659555,0.560056634940612,0.032346039764605955,0.0316,0.0365,-0.0041,0.004899999999999995,0.007399999999999997,-0.006899999999999999,-3.315439137668593,0.0071136666666666674
1957-08-01,-3.251923678914401,-3.251923678914401,-2.5722004839380275,-0.6797231949763735,0.5880045421699185,0.03585398947573718,0.0337,0.0367,0.0002,0.0030000000000000027,0.007200000000000005,-0.0011,-3.251923678914401,-0.051806333333333336
1957-09-01,-3.182306140086476,-3.182306140086476,-2.5034653551777684,-0.6788407849087074,0.6241507779969319,0.034362522478884196,0.0353,0.0364,0.0076,0.0011000000000000038,0.008099999999999996,0.0018999999999999998,-3.182306140086476,-0.06082066666666667
1957-10-01,-3.1440548650050495,-3.1440548650050495,-2.4805314322983945,-0.6635234327066555,0.645746417558498,0.038409716496547536,0.0358,0.0369,-0.005,0.0011000000000000038,0.008900000000000005,0.0073,-3.1440548650050495,-0.04181733333333333
1957-11-01,-3.154367265828578,-3.154367265828578,-2.506226266056516,-0.6481409997720616,0.6330717762909285,0.04098981363551944,0.0331,0.034,0.0533,0.000900000000000005,0.010099999999999998,-0.0222,-3.154367265828578,0.020944666666666667
1957-12-01,-3.1064138030060633,-3.1064138030060633,-2.4737166784944566,-0.6326971245116066,0.6536757786499575,0.034873146995566345,0.0304,0.0323,0.0307,0.0019000000000000024,0.012200000000000003,0.0378,-3.1064138030060633,-0.03995533333333333
1958-01-01,-3.1520187257255756,-3.1520187257255756,-2.53860191785935,-0.6134168078662254,0.6328607617439226,0.02989617989445311,0.024399999999999998,0.033,-0.0084,0.008600000000000003,0.012299999999999998,0.0183,-3.1520187257255756,0.04348466666666667
1958-02-01,-3.1349211676159734,-3.1349211676159734,-2.5413153303447866,-0.5936058372711867,0.6473904346244772,0.027751080185531674,0.015300000000000001,0.0325,0.01,0.0172,0.010700000000000001,-0.0108,-3.1349211676159734,-0.015384
1958-03-01,-3.1690681941025978,-3.1690681941025978,-2.5958249407681735,-0.5732432533344243,0.6685916375682693,0.028935347494565326,0.013000000000000001,0.0321,0.0102,0.019099999999999995,0.010499999999999995,-0.0148,-3.1690681941025978,0.031968666666666666
1958-04-01,-3.2079607042091123,-3.2079607042091123,-2.649703114026574,-0.558257590182538,0.65524503136928,0.027018276765353136,0.0113,0.0311,0.0186,0.019799999999999998,0.010699999999999994,-0.0023,-3.2079607042091123,0.03256933333333333
1958-05-01,-3.230435922008841,-3.230435922008841,-2.6876207107017365,-0.5428152113071049,0.6455586773287227,0.0228695102644738,0.0091,0.0313,0.0001,0.0222,0.010500000000000002,0.003,-3.230435922008841,0.020554666666666666
1958-06-01,-3.263860242738232,-3.263860242738232,-2.7369792282189436,-0.5268810145192884,0.6246601698105315,0.021436617552809206,0.0083,0.0324,-0.016,0.024099999999999996,0.009800000000000003,0.0122,-3.263860242738232,0.027306333333333332
1958-07-01,-3.3060605972286083,-3.3060605972286083,-2.784885248904376,-0.5211753483242326,0.5938487842700649,0.016933799247948526,0.0091,0.0343,-0.0278,0.025199999999999997,0.008600000000000003,0.012499999999999999,-3.3060605972286083,0.043201666666666666
1958-08-01,-3.3178576584170516,-3.3178576584170516,-2.802417265570224,-0.5154403928468274,0.5872638263570769,0.015090629011613248,0.0169,0.0371,-0.0435,0.020200000000000003,0.008199999999999999,0.011499999999999996,-3.3178576584170516,0.016590666666666667
1958-09-01,-3.3651008774939406,-3.3651008774939406,-2.855431991855774,-0.509668885638167,0.5613711966020786,0.01398347823684889,0.024399999999999998,0.038,-0.0117,0.013600000000000001,0.007800000000000001,0.002100000000000001,-3.3651008774939406,0.04880366666666667
1958-10-01,-3.386305890091091,-3.386305890091091,-2.8793295003665658,-0.5069763897245254,0.5498692978903574,0.012278913274281012,0.0263,0.0374,0.0138,0.011100000000000002,0.008099999999999996,-0.0031000000000000003,-3.386305890091091,0.02517833333333333
1958-11-01,-3.4046350672748287,-3.4046350672748287,-2.900328555995855,-0.5043065112789737,0.535823198076992,0.011534943696318972,0.026699999999999998,0.0368,0.012,0.010100000000000001,0.007800000000000001,-0.0014999999999999996,-3.4046350672748287,0.026392
1958-12-01,-3.4515283083605306,-3.4515283083605306,-2.9498875941716123,-0.5016407141889182,0.511779319797824,0.023686831610820705,0.0277,0.0382,-0.0181,0.010499999999999999,0.007699999999999992,0.012300000000000002,-3.4515283083605306,0.051803666666666665
1959-01-01,-3.4515205680182643,-3.4515205680182643,-2.928626903437154,-0.5228936645811105,0.5028958179001952,0.027736266061161606,0.0282,0.0408,-0.008,0.012600000000000004,0.0075,0.0052,-3.4515205680182643,0.003981
1959-02-01,-3.447556016038115,-3.447556016038115,-2.9039985625812625,-0.5435574534568524,0.4949461474730737,0.027898847283532945,0.027000000000000003,0.0402,0.0117,0.013199999999999996,0.0075,0.0008999999999999998,-3.447556016038115,0.004461
